Epochs,R_AlexNet_Train_Acc,R_AlexNet_Test_Acc,R_AlexNet_Train_Loss,R_AlexNet_Test_Loss,R_ResNet34_Train_Acc,R_ResNet34_Test_Acc,R_ResNet34_Train_Loss,R_ResNet34_Test_Loss,R_ResNet50_Train_Acc,R_ResNet50_Test_Acc,R_ResNet50_Train_Loss,R_ResNet50_Test_Loss,R_VGG16_Train_Acc,R_VGG16_Test_Acc,R_VGG16_Train_Loss,R_VGG16_Test_Loss
41,0.544022818406423,0.6235119104385376,1.2012456390592787,1.0155822734038036,99.95370370370372,90.0,0.0042755310543511,0.3765274882316589,99.76851851851852,87.96296296296296,0.0150173606474281,0.3864787883228726,94.95370370370372,87.22222222222223,0.1452023247804711,0.4776230815469342
42,0.5084945493274264,0.5533854166666666,1.2768104606204562,1.070858597755432,99.8148148148148,88.88888888888889,0.0090253327130887,0.3640053355031543,99.8148148148148,88.70370370370371,0.0124495265156249,0.4458774228890736,93.70370370370372,89.25925925925925,0.1954154084053109,0.3759313559926608
43,0.5270957350730896,0.5295759042104086,1.2139500776926675,1.273168643315633,99.9074074074074,90.0,0.0049150258213665,0.3768378819028536,99.9074074074074,86.66666666666667,0.0082968044204308,0.4344359172715081,95.41666666666669,86.85185185185185,0.1254415562485947,0.4733108009266503
44,0.5422867072953118,0.5459449489911398,1.2015783389409382,1.1098923087120056,100.0,88.51851851851852,0.0044353714568869,0.4018215288718541,99.86111111111111,87.77777777777777,0.0118592660189332,0.407283185256852,93.88888888888889,86.48148148148148,0.1661895930986194,0.4365079033681575
45,0.5442088312572904,0.4205729166666667,1.213687499364217,1.3208709557851157,100.0,89.25925925925925,0.0033738209441413,0.3771365930636723,99.9074074074074,87.77777777777777,0.0105456831447287,0.3988835579819149,90.23148148148148,82.4074074074074,0.2814065257416052,0.5246919297120151
46,0.5533234145906236,0.6781994104385376,1.1567471557193332,0.9156176149845124,99.95370370370372,89.44444444444444,0.0036772789128864,0.4214427570501963,99.8148148148148,89.07407407407408,0.0099855907850296,0.4105085945791668,93.88888888888889,86.29629629629629,0.1733855572255218,0.4445960228057468
47,0.5669642885526022,0.6625744104385376,1.1266888512505426,0.911198357741038,100.0,88.51851851851852,0.0034098423356601,0.41316619515419,99.72222222222224,88.51851851851852,0.0112906289560829,0.4136720663971371,94.8148148148148,87.03703703703704,0.1512505913920262,0.4352568162276464
48,0.5724206368128458,0.6298363208770752,1.138048768043518,0.954688310623169,99.95370370370372,88.51851851851852,0.0061736731902997,0.4136437475681305,99.86111111111111,88.33333333333333,0.0095852464437484,0.3849889636039734,95.32407407407408,88.51851851851852,0.1420331349705948,0.4322096307707183
49,0.5697544680701362,0.578311026096344,1.1476372215482924,1.0779242912928264,99.95370370370372,88.33333333333333,0.0045005960547474,0.3790103801422649,99.86111111111111,88.51851851851852,0.0089479661272729,0.3717280560069614,96.01851851851852,86.29629629629629,0.1135518083568005,0.5456597538774505
50,0.568638394276301,0.578497032324473,1.1104366646872623,1.1260911623636882,100.0,89.25925925925925,0.0032987413390347,0.38025228265259,99.95370370370372,87.22222222222223,0.0065840090974234,0.4006386001904805,94.67592592592592,86.48148148148148,0.1587435619576889,0.447470261112732
